ID,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
5008888,0,0,1,0,0,0,0,0,1,11,247500.0,46.58822563091650,3.6879607384135200,Commercial associate,Higher education,Separated,Rented apartment,Core staff,0
5008891,0,0,1,0,0,0,0,0,1,7,297000.0,42.48957884145470,8.854391260600830,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,0
5008942,0,0,0,0,1,0,0,0,2,43,157500.0,37.35052738933720,13.267897355866300,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,1
5008947,1,0,1,1,1,0,0,0,2,12,135000.0,42.39375209621010,3.8549730658398200,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5008951,1,0,1,0,0,0,0,1,3,45,225000.0,28.257938219128400,7.688042875623730,Working,Secondary / secondary special,Married,House / apartment,Other,0
5008955,0,1,1,0,0,0,0,0,2,4,135000.0,48.69367611929060,4.687296795964330,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008966,1,0,1,0,1,0,0,0,2,15,157500.0,43.88043560100480,2.4339993292127800,Working,Secondary / secondary special,Married,House / apartment,Other,1
5008974,0,0,1,0,0,0,1,0,2,49,112500.0,61.1073464889765,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5008981,1,1,1,0,1,0,0,0,2,10,112500.0,57.151070863878100,6.518956583639640,State servant,Secondary / secondary special,Married,House / apartment,Drivers,0
5008991,0,1,1,1,1,0,0,0,1,30,270000.0,45.399973989883400,3.269060966344280,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,0
5008998,0,1,1,0,0,1,0,0,2,4,270000.0,29.09847567027390,2.266987001786480,Working,Higher education,Married,House / apartment,Managers,0
5009000,1,1,1,0,0,0,0,0,2,22,157500.0,27.179202858374900,2.266987001786480,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009001,1,0,1,1,1,0,0,0,2,40,166500.0,51.81762801426450,17.183104375859900,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009016,0,0,1,0,0,1,0,2,4,24,216000.0,42.28423581593050,8.520366605748240,State servant,Higher education,Married,House / apartment,Other,0
5009027,0,1,1,0,0,1,0,0,2,21,270000.0,54.37757106579880,29.687125676776400,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5009028,0,1,1,0,0,0,0,0,2,17,225000.0,39.56275625098390,7.603167758407090,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1
5009031,0,0,1,0,0,0,0,0,1,13,315000.0,28.89587055175670,3.269060966344280,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,0
5009033,0,0,0,0,0,0,1,0,2,16,255150.0,51.149578704559300,0.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Other,0
5009039,0,0,1,0,0,0,0,2,3,8,157500.0,39.22325578211740,1.5195383888786200,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,0
5009042,0,0,1,0,0,0,0,0,2,20,148500.0,48.299417510284300,2.4339993292127800,Working,Higher education,Married,House / apartment,Core staff,0
5009050,0,0,1,0,0,1,0,2,4,34,202500.0,30.108763355852600,6.2670691389966900,Working,Higher education,Married,House / apartment,Core staff,0
5009056,1,0,1,1,0,0,0,0,1,24,202500.0,24.260593988925200,2.4339993292127800,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,0
5009058,0,1,1,0,1,1,0,0,1,0,112500.0,20.504185575336900,2.1821118845698400,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff,0
5009060,0,0,1,0,1,0,1,0,2,3,94500.0,61.140201373060400,0.0,Pensioner,Higher education,Married,House / apartment,Other,0
5009062,1,1,1,0,0,0,0,0,2,45,315000.0,28.611128223029900,5.68663285351513,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,0
5009071,0,1,1,0,1,1,0,0,2,20,270000.0,28.101877519730000,8.687378933174530,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,High skill tech staff,0
5009074,0,1,1,0,1,1,0,1,3,22,450000.0,48.532139605878300,1.9384381609478600,State servant,Higher education,Married,House / apartment,Core staff,0
5009078,1,0,1,0,0,0,0,1,3,30,180000.0,38.6647227526917,3.520948410987220,Working,Secondary / secondary special,Married,With parents,Drivers,0
5009079,0,0,1,0,0,1,0,0,2,43,112500.0,27.554296118332300,8.687378933174530,Working,Higher education,Civil marriage,House / apartment,Laborers,0
5009083,1,0,1,0,0,0,0,0,2,51,90000.0,56.21196876048110,15.688207150044100,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009088,1,1,0,0,0,0,0,2,4,46,202500.0,40.32937021294070,8.18360404388865,Commercial associate,Higher education,Married,House / apartment,Laborers,0
5009090,1,1,1,0,0,0,0,0,2,13,247500.0,34.57428968425090,11.020075703128700,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009092,1,1,1,1,0,0,0,1,3,3,765000.0,33.394251764238800,3.269060966344280,Working,Higher education,Married,House / apartment,Managers,1
5009096,0,0,1,0,0,1,0,1,3,24,270000.0,37.451829948595800,12.022149667686500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,0
5009099,0,0,1,0,0,0,0,0,1,56,315000.0,36.33476388974450,1.5195383888786200,Working,Higher education,Separated,House / apartment,Managers,0
5009103,1,1,1,0,1,0,0,2,4,38,157500.0,35.20674620286520,11.104950820345400,Working,Secondary / secondary special,Married,With parents,Drivers,0
5009108,1,0,1,0,0,0,0,0,2,7,360000.0,41.94747325407090,7.52103054819743,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,0
5009110,0,0,1,0,0,1,0,0,2,3,112500.0,24.208573755792400,0.8542269861804140,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,1
5009116,0,0,0,0,0,0,0,0,1,35,157500.0,43.08644256897810,1.1827758270190400,Commercial associate,Higher education,Separated,With parents,Other,0
5009133,1,0,1,0,0,0,1,0,1,16,382500.0,59.33865856246190,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009141,0,0,0,1,1,0,0,0,2,33,135000.0,26.439967966488000,4.271134930902070,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,0
5009143,1,1,0,0,0,0,1,0,2,11,225000.0,50.073581250812800,0.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,1
5009145,1,1,0,1,1,0,0,0,2,36,315000.0,43.327378385593100,10.185014065997200,Working,Higher education,Married,House / apartment,Managers,0
5009151,0,0,0,0,0,0,0,0,2,29,180000.0,53.59452966180000,7.942668227273660,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009163,0,0,0,0,1,0,0,0,2,12,157500.0,35.360068995256600,8.690116840181520,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009170,0,1,0,0,1,1,1,0,2,30,144000.0,62.63509859887610,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009177,1,1,0,0,0,0,0,0,2,49,229500.0,50.172145903064400,3.4388112007775700,Working,Incomplete higher,Married,Co-op apartment,Laborers,1
5009186,0,0,0,1,1,0,0,0,2,3,270000.0,48.11323983380910,15.857957384477400,Working,Higher education,Married,House / apartment,Managers,1
5009195,0,0,0,1,1,0,0,0,2,21,292500.0,57.3673655174302,23.7759844486882,State servant,Secondary / secondary special,Married,House / apartment,Accountants,0
5009213,0,0,0,1,1,0,0,0,2,22,270000.0,33.76660711718930,2.3546000260101200,Working,Higher education,Married,House / apartment,Accountants,0
5009220,0,1,0,1,0,0,0,0,2,27,225000.0,40.15688207150040,2.1848497915768300,Working,Secondary / secondary special,Married,House / apartment,Managers,0
5009238,1,1,0,0,1,0,0,0,2,24,157500.0,29.051931251155100,2.6886246808627100,Working,Incomplete higher,Married,With parents,Drivers,0
5009242,0,0,0,0,1,0,0,0,1,34,74250.0,52.2447415073547,14.354846437640700,Working,Higher education,Separated,Municipal apartment,Core staff,0
5009246,0,0,0,0,1,0,0,0,2,31,135000.0,38.8810174062438,5.8563830879484200,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
5009249,1,1,0,1,0,0,0,1,3,26,135000.0,27.26134006858460,2.5216123534364200,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009255,0,0,0,0,0,0,0,0,1,6,144000.0,43.72437490160650,24.605570271805700,Working,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,0
5009260,0,0,0,0,1,0,0,0,2,19,202500.0,39.869401835766600,3.5236863179942100,State servant,Higher education,Married,With parents,Core staff,0
5009264,0,0,0,0,0,0,1,0,1,21,40500.0,57.745196684394600,0.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Other,1
5009265,1,1,0,1,1,0,0,0,2,47,337500.0,28.10735333374400,4.523022375545020,State servant,Higher education,Married,With parents,Managers,0
5009270,1,0,0,0,1,0,0,0,2,28,180000.0,40.46900347029710,6.688706818072920,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Laborers,0
5009278,0,0,0,0,1,0,0,0,2,20,130500.0,41.45191208580600,13.185760145656700,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,0
5009295,0,0,0,0,1,0,1,0,2,33,144000.0,57.60830133404520,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009297,0,0,0,0,1,0,0,0,1,22,193500.0,44.077564905508000,5.108934475040560,Working,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,1
5009302,0,0,0,0,0,0,1,0,1,25,112500.0,60.40096648117350,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009306,0,1,0,0,1,1,1,0,2,60,135000.0,55.141447120748500,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009325,1,1,0,0,1,0,0,0,2,16,267750.0,57.47140598369580,12.942086422034700,Working,Higher education,Married,House / apartment,Laborers,0
5009335,0,0,0,0,0,0,0,0,1,9,139500.0,44.36230723423480,19.439139749618400,Working,Higher education,Separated,House / apartment,Managers,0
5009338,1,0,0,1,1,0,0,0,2,12,67500.0,51.12767544850340,14.521858765067000,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5009340,1,1,0,0,0,0,0,0,2,57,252000.0,29.432500325126500,6.688706818072920,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5009349,1,0,0,0,1,0,0,0,2,30,180000.0,57.92042273284190,0.355927910908506,Commercial associate,Lower secondary,Married,House / apartment,Drivers,0
5009355,0,0,0,1,1,0,0,0,2,25,135000.0,53.914864781617700,14.4369836478504,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5009359,0,1,0,0,0,0,0,0,1,15,900000.0,52.19272127422190,20.27146347974290,Working,Higher education,Single / not married,House / apartment,Managers,1
5009361,1,1,0,1,0,0,0,0,2,47,180000.0,40.70446347289810,1.6044135060952700,Commercial associate,Higher education,Civil marriage,House / apartment,Drivers,0
5009368,1,1,0,0,1,1,1,0,2,40,115290.0,63.48384977104250,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009378,0,0,0,1,0,1,0,2,4,39,225000.0,30.886328945837400,4.774909820187960,Working,Higher education,Married,House / apartment,Core staff,0
5009379,1,1,0,1,0,0,0,1,3,32,135000.0,25.818463075901600,3.2717988733512700,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009383,0,0,0,0,1,0,0,0,2,30,450000.0,40.296515328856900,15.272045284981900,State servant,Higher education,Married,House / apartment,Managers,0
5009389,1,0,0,0,0,0,0,0,1,21,279000.0,30.2319691711671,8.690116840181520,State servant,Higher education,Single / not married,House / apartment,Core staff,1
5009396,0,0,0,1,0,0,0,1,3,55,76500.0,34.24026502939830,1.3552639684593100,Working,Higher education,Civil marriage,House / apartment,Accountants,0
5009402,1,0,0,1,1,0,0,0,2,7,202500.0,56.41183597199120,0.6899525657611040,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,0
5009404,0,0,0,0,1,0,0,2,4,7,67500.0,28.28531728919830,1.1855137340260200,Commercial associate,Higher education,Married,House / apartment,Core staff,0
5009405,1,0,0,1,1,0,0,0,2,20,234000.0,38.11987925830100,6.269807046003680,Working,Incomplete higher,Married,House / apartment,Drivers,0
5009415,0,0,0,1,1,0,0,0,1,7,90000.0,52.85255686290620,1.2703888512426700,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1
5009423,0,0,0,0,0,0,0,0,2,9,81000.0,53.57810221975810,2.7734997980793600,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,0
5009424,1,0,0,1,0,0,0,0,1,38,108000.0,22.40155513118000,3.6058235282038600,Working,Secondary / secondary special,Single / not married,Co-op apartment,Cooking staff,1
5009426,1,0,0,0,0,0,1,0,2,10,99000.0,54.6048173473788,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009428,1,0,0,1,0,0,0,0,1,14,198000.0,23.70206095949950,3.1869237561346200,Working,Secondary / secondary special,Single / not married,With parents,Laborers,0
5009431,1,1,0,1,1,0,0,0,2,13,360000.0,40.61685044867450,3.2717988733512700,State servant,Higher education,Married,Municipal apartment,Drivers,0
5009435,0,0,0,0,1,0,1,0,2,23,135000.0,54.593865719350800,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009436,0,0,0,0,0,0,1,0,2,3,76500.0,64.28605652409020,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009441,0,0,0,0,1,0,0,0,2,7,90000.0,25.979999589313900,4.60515958575467,State servant,Secondary / secondary special,Married,House / apartment,Other,0
5009445,0,1,0,1,0,0,0,0,2,16,270000.0,37.93370158182580,2.023313278164510,Commercial associate,Incomplete higher,Civil marriage,House / apartment,Other,1
5009447,1,1,0,1,0,0,0,0,2,7,81000.0,39.521687645879100,9.270553125663090,Working,Secondary / secondary special,Married,With parents,Drivers,0
5009450,0,0,0,0,1,0,0,0,2,31,202500.0,47.29460563871950,3.6906986454205100,State servant,Higher education,Married,House / apartment,Laborers,0
5009459,0,0,0,1,1,0,0,0,2,28,157500.0,53.94224385168760,27.02314215897660,Working,Secondary / secondary special,Married,House / apartment,Other,0
5009473,0,0,0,0,1,0,0,0,2,54,180000.0,36.25262667953480,12.186424088105800,Commercial associate,Higher education,Married,House / apartment,Other,0
5009484,0,0,0,0,0,0,0,0,2,54,135000.0,33.210811994770600,2.1848497915768300,Working,Secondary / secondary special,Married,Municipal apartment,Cooking staff,0
5009487,0,0,0,0,0,0,0,2,4,58,135000.0,26.65626262004010,7.857793110057020,Working,Secondary / secondary special,Married,House / apartment,Other,0
5009490,1,1,0,1,1,0,0,0,2,39,135000.0,44.34314188518590,17.02430576945450,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5009493,1,1,0,1,0,1,0,0,2,46,270000.0,32.04993942380750,3.1869237561346200,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
5009507,0,0,0,0,1,0,0,0,2,11,202500.0,44.08030281251500,13.52252270751620,Working,Higher education,Married,House / apartment,Core staff,0
5009512,0,0,0,0,0,0,0,0,2,22,157500.0,46.23777353402190,7.3567561277781200,Working,Incomplete higher,Married,House / apartment,Core staff,0
5009518,1,1,0,1,0,0,0,2,4,3,180000.0,34.12253502809780,5.941258205165060,Working,Incomplete higher,Married,House / apartment,Laborers,0
5009523,1,1,0,1,0,0,0,1,2,10,112500.0,32.84940826984810,3.107524452931960,Working,Secondary / secondary special,Separated,Co-op apartment,Laborers,0
5009526,0,1,0,0,1,0,0,0,2,16,157500.0,37.20815622497380,2.6886246808627100,Commercial associate,Secondary / secondary special,Married,House / apartment,Other,0
5009536,1,1,0,1,0,0,0,0,2,15,216000.0,42.31435279300740,2.4367372362197700,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009537,0,1,0,1,1,0,0,0,2,56,202500.0,42.51148209751060,4.774909820187960,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009543,0,0,0,0,0,0,0,0,2,59,198000.0,51.50824452247480,26.68911750412400,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
5009562,0,0,0,0,1,0,1,0,1,33,157500.0,55.58498805588070,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009565,1,1,0,1,1,0,0,0,2,39,180000.0,41.48750487689690,8.605241722964880,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009575,0,1,0,0,0,0,0,0,2,23,315000.0,46.74702423732180,2.1848497915768300,Working,Secondary / secondary special,Married,House / apartment,Accountants,0
5009577,0,0,0,0,0,0,1,0,2,23,112500.0,58.36122576096700,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009582,0,0,0,0,0,0,0,0,1,40,90000.0,31.984229655639700,1.8563009507382100,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1
5009585,0,0,0,0,1,0,0,0,1,30,45000.0,39.354675318452800,2.1848497915768300,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,0
5009590,0,1,0,0,1,0,0,0,2,7,225000.0,23.239354675318500,5.024059357823910,Working,Secondary / secondary special,Married,House / apartment,Other,0
5009592,0,0,0,0,1,0,1,0,1,17,112500.0,64.42842768845360,0.0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,Other,0
5009593,0,1,0,1,1,0,0,0,2,21,144000.0,47.59303750248120,2.4367372362197700,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
5009602,0,1,0,1,1,0,0,0,2,42,315000.0,36.83853877903040,7.523768455204420,Commercial associate,Higher education,Married,House / apartment,Sales staff,0
5009603,0,0,0,1,0,0,0,1,3,37,112500.0,35.24233899395610,10.185014065997200,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009607,0,0,0,1,1,0,0,2,4,23,144000.0,33.61328432479790,2.6886246808627100,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
5009617,1,1,0,0,0,0,1,0,2,55,225000.0,47.54923099036940,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009620,1,1,0,1,0,0,0,0,2,41,135000.0,52.173555925173,0.27105279369186200,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
5009625,0,0,0,1,0,0,0,0,2,41,238500.0,52.85529476991310,9.02414149503412,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009631,0,0,0,0,1,0,0,0,2,27,112500.0,27.07790029911630,5.604495643305480,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009633,1,1,0,1,0,0,0,1,3,23,144000.0,27.513227513227500,0.7748276829777480,Working,Incomplete higher,Married,House / apartment,Drivers,0
5009636,0,0,0,0,1,0,1,0,2,13,90000.0,58.66239553173580,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009642,1,0,0,1,0,0,0,0,1,1,202500.0,23.24209258232540,2.5216123534364200,Commercial associate,Secondary / secondary special,Single / not married,With parents,Other,0
5009646,1,0,0,1,0,0,0,0,1,15,117000.0,40.217116025654200,10.023477552584900,Working,Secondary / secondary special,Single / not married,House / apartment,Low-skill Laborers,0
5009651,0,0,0,0,1,0,0,0,2,60,135000.0,51.06196568033570,29.941751028426300,State servant,Secondary / secondary special,Married,House / apartment,Other,0
5009660,1,0,0,1,0,0,0,0,1,40,225000.0,27.83356263304520,4.857047030397610,Working,Higher education,Single / not married,House / apartment,Other,0
5009664,0,0,0,0,0,0,1,0,1,27,126000.0,52.54317337111650,0.0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,1
5009671,0,0,0,1,0,0,0,0,2,8,135000.0,43.27262024545340,1.1855137340260200,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
5009673,0,0,0,0,1,0,1,0,1,30,90000.0,59.379727167566800,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009689,0,0,0,0,1,0,1,0,1,43,153000.0,63.790495355825200,0.0,Pensioner,Secondary / secondary special,Separated,House / apartment,Other,0
5009694,1,1,0,0,1,1,0,0,2,45,1350000.0,35.59005318384360,4.271134930902070,Commercial associate,Higher education,Married,Municipal apartment,Managers,1
5009701,0,0,0,0,0,0,1,0,2,3,139500.0,57.12095388680120,0.0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,0
5009706,0,0,0,0,0,0,0,0,2,4,157500.0,31.880189189374200,0.9418400104040470,Working,Higher education,Married,House / apartment,Managers,0
5009711,0,1,0,1,1,0,0,0,2,4,135000.0,30.396243591586400,1.1855137340260200,Working,Secondary / secondary special,Civil marriage,With parents,Sales staff,0
5009713,1,0,0,1,1,0,0,0,1,38,180000.0,25.681567725552200,4.690034702971310,Working,Secondary / secondary special,Single / not married,House / apartment,Other,1
5009719,0,0,0,1,1,0,0,0,1,23,225000.0,52.885411746990000,12.186424088105800,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
5009724,0,0,0,0,1,0,0,0,2,41,135000.0,27.069686578095400,6.773581935289570,Working,Higher education,Married,House / apartment,Sales staff,0
5009729,1,1,0,1,0,0,0,0,2,4,292500.0,36.08013853809460,3.6058235282038600,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5009732,0,1,0,1,1,0,0,0,2,49,270000.0,52.953859422164700,20.025051849113900,Commercial associate,Higher education,Married,House / apartment,Managers,0
5009736,0,1,0,1,1,0,0,0,2,34,99000.0,40.12950300143060,12.024887574693500,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
5009742,0,0,0,1,1,0,0,0,2,14,135000.0,33.752917582154300,6.773581935289570,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009745,0,1,0,1,1,0,0,0,2,46,315000.0,37.117805293743200,1.6044135060952700,Commercial associate,Higher education,Married,House / apartment,Other,1
5009757,1,1,0,0,0,0,0,0,1,26,270000.0,24.879360972504600,4.60515958575467,Working,Higher education,Single / not married,House / apartment,Laborers,0
5009762,1,0,0,0,0,0,0,0,1,16,135000.0,38.65377112466380,8.690116840181520,Working,Secondary / secondary special,Separated,House / apartment,Laborers,0
5009783,1,1,0,1,0,0,0,2,4,28,445500.0,40.811241846170700,18.688953229703600,State servant,Higher education,Married,Municipal apartment,Core staff,0
5009785,0,0,0,0,1,0,1,0,1,6,198000.0,60.23942996776120,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
5009799,0,1,0,1,1,0,0,0,2,57,382500.0,42.25959465286760,10.855801282709400,Working,Higher education,Married,House / apartment,Other,0
5009805,0,0,0,1,1,0,0,1,3,9,202500.0,32.34289547355520,8.942004284824470,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009819,0,1,0,0,1,0,0,0,2,8,99000.0,40.748269985010000,14.940758537136300,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,0
5009826,0,0,0,1,0,0,0,0,2,25,112500.0,43.146676523131900,1.0239772206137000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
5009831,1,1,0,1,0,0,0,0,2,19,166500.0,28.570059617925100,4.690034702971310,Working,Higher education,Married,With parents,Core staff,0
5009837,0,0,0,0,0,0,0,0,2,43,135000.0,35.92133993168920,15.272045284981900,State servant,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,0
5009839,1,1,0,0,0,0,0,0,2,33,202500.0,34.59619294030680,1.1088523378303500,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0
5009843,0,0,0,0,0,0,0,0,1,38,81000.0,49.096148449317900,4.024723300273110,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,1
5009844,1,1,0,1,0,0,0,0,2,13,180000.0,43.53545931812430,0.355927910908506,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5009846,1,0,0,0,1,0,0,0,2,34,225000.0,33.62697385983290,1.1088523378303500,Commercial associate,Higher education,Civil marriage,House / apartment,Managers,0
5009847,0,0,0,0,0,0,0,0,2,31,99000.0,27.60905425847210,1.8563009507382100,Commercial associate,Higher education,Married,House / apartment,Sales staff,0
5009850,1,1,0,1,1,0,0,0,1,37,360000.0,28.134732403813900,1.5222762958856100,Commercial associate,Secondary / secondary special,Separated,With parents,Drivers,0
5009864,1,1,0,1,0,0,0,0,2,41,225000.0,39.850236486717700,3.35667399056791,Working,Higher education,Civil marriage,Rented apartment,Managers,0
5009872,1,1,0,1,0,0,0,2,4,38,427500.0,41.46286371383400,17.522604844726400,Commercial associate,Higher education,Married,House / apartment,Managers,0
5009877,0,0,1,1,1,0,0,2,4,7,157500.0,42.43482070131490,3.5236863179942100,State servant,Higher education,Married,House / apartment,Core staff,0
5009879,0,0,1,1,0,0,0,2,4,3,144000.0,26.938267041759900,5.024059357823910,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,0
5009880,0,0,1,0,1,0,1,0,2,14,157500.0,59.234618096196400,0.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,0
5009889,1,1,1,0,0,1,0,0,1,14,270000.0,36.06371109605260,3.2717988733512700,Working,Secondary / secondary special,Single / not married,House / apartment,Managers,0
5009893,0,1,0,0,0,0,0,1,3,17,157500.0,32.83298082780620,6.436819373429980,Working,Higher education,Married,House / apartment,Private service staff,0
